12B-cs2,12B-sc2,12B-cs,12B-sc
13.55575,5.48908,7.21913,24.44192
13.56149,5.49274,7.22388,24.4446
13.56554,5.4959,7.22723,24.44834
13.56976,5.49886,7.2334,24.4512
13.57352,5.50276,7.23815,24.45454
13.57938,5.50554,7.24222,24.45924
13.58261,5.51028,7.24699,24.4609
13.58894,5.51302,7.25098,24.46574
13.59251,5.51674,7.25402,24.46902
13.59776,5.52,7.26081,24.47234
13.60154,5.52306,7.26378,24.47602
13.60612,5.52682,7.26814,24.47922
13.61086,5.52988,7.27383,24.48228
13.61346,5.53454,7.27748,24.48538
13.6201,5.53682,7.28043,24.48906
13.62178,5.54062,7.28421,24.49354
13.6284,5.5442,7.29026,24.49652
13.63267,5.54696,7.29366,24.49918
13.63595,5.55078,7.30056,24.50296
13.64034,5.55398,7.30335,24.50682
13.64546,5.55794,7.30973,24.5105
13.64962,5.56144,7.31248,24.5134
13.65318,5.56422,7.31721,24.51678
13.65973,5.56894,7.3224,24.52082
13.66403,5.57092,7.32719,24.52438
13.66621,5.57446,7.32902,24.5286
13.67163,5.57858,7.3358,24.53118
13.6773,5.58158,7.34009,24.53376
13.68029,5.58574,7.34482,24.53698
13.68591,5.58886,7.34706,24.54048
13.69007,5.59314,7.35346,24.5461
13.69466,5.5969,7.35663,24.5477
13.69944,5.59866,7.36124,24.55228
13.70298,5.6035,7.36486,24.55518
13.70793,5.60582,7.37047,24.55892
13.71204,5.61054,7.37391,24.56212
13.71644,5.614,7.37775,24.56508
13.71944,5.61674,7.38414,24.569
13.72436,5.62092,7.38749,24.57172
13.73027,5.62362,7.39293,24.57606
13.73255,5.62668,7.39747,24.57998
13.73827,5.63094,7.39997,24.58166
13.74343,5.63294,7.40492,24.58658
13.74541,5.6386,7.40937,24.58896
13.74984,5.64124,7.41503,24.59288
13.75541,5.64472,7.41957,24.59662
13.75918,5.64776,7.42193,24.60004
13.76449,5.65056,7.42944,24.60392
13.76978,5.65472,7.43297,24.6068
13.77369,5.65796,7.43509,24.61074
13.77929,5.66134,7.44186,24.61396
13.78369,5.66586,7.44402,24.61672
