250k-SF128-1024B,250k-SF128-128B,250k-SF128-12B,64k5-SF2048-4o6-1024B,64k5-SF2048-4o6-128B,64k5-SF2048-4o6-12B
817.35985,109.04805,21.385,,5441.16731,1181.12145
817.35551,109.04946,21.3903,,5441.17191,1181.12553
817.36139,109.0493,21.38823,,5441.17699,1181.12854
817.35569,109.04645,21.3856,,5441.16562,1181.1325
817.35986,109.04785,21.38738,,5441.17092,1181.11975
817.35599,109.04767,21.38444,,5441.17532,1181.12375
817.35627,109.04872,21.39052,,5441.18059,1181.12708
817.35896,109.04622,21.39192,,5441.16895,1181.13108
817.35856,109.0433,21.38975,,5441.17416,1181.1181
817.35623,109.04863,21.38678,,5441.17873,1181.12212
817.35402,109.04485,21.3846,,5441.16877,1181.1252
817.36049,109.04553,21.39025,,5441.17312,1181.1294
817.35613,109.04929,21.38807,,5441.16233,1181.13262
817.35729,109.04596,21.38944,,5441.16697,1181.12059
817.35624,109.04305,21.38726,,5441.17234,1181.12385
817.35773,109.04792,21.38468,,5441.17691,1181.12786
817.3558,109.04381,21.38687,,5441.16623,1181.13111
817.3592,109.04877,21.38825,,5441.17097,1181.11917
817.35978,109.04898,21.38618,,5441.1763,1181.12239
817.35706,109.04563,21.39147,,5441.16487,1181.12646
817.36023,109.0471,21.38934,,5441.17021,1181.12946
817.35779,109.0485,21.38639,,5441.17472,1181.13354
817.3577,109.04564,21.38856,,5441.18004,1181.13683
817.36072,109.04705,21.38562,,5441.1685,1181.12487
817.35579,109.04705,21.3878,,5441.17381,1181.12818
817.35791,109.04418,21.38488,,5441.16238,1181.11624
817.35848,109.04915,21.387,,5441.16768,1181.11945
817.35509,109.04939,21.38838,,5441.17221,1181.12347
817.35682,109.04575,21.39051,,5441.17759,1181.12575
817.35539,109.04592,21.38755,,5441.16566,1181.1298
817.35722,109.04653,21.38536,,5441.17101,1181.11682
817.35749,109.05037,21.38678,,5441.17471,1181.12082
817.3586,109.04746,21.38459,,5441.18033,1181.12386
817.35812,109.04892,21.38566,,5441.16895,1181.12787
817.35582,109.04635,21.38778,,5441.17429,1181.13114
817.35881,109.0478,21.38916,,5441.17862,1181.11913
817.35874,109.04766,21.38707,,5441.16807,1181.12239
817.35724,109.0443,21.39238,,5441.17208,1181.12643
817.35576,109.04571,21.39021,,5441.17738,1181.12968
817.35594,109.0495,21.38768,,5441.16614,1181.11768
817.35879,109.04621,21.38952,,5441.1716,1181.12094
817.35815,109.04771,21.39092,,5441.17614,1181.12489
817.35629,109.04364,21.38886,,5441.16543,1181.12817
817.35696,109.0443,21.38627,,5441.16996,1181.13213
817.35756,109.04573,21.38838,,5441.1754,1181.11937
817.35977,109.04682,21.38976,,5441.16399,1181.12339
817.35743,109.047,21.38763,,5441.1693,1181.12637
817.36175,109.04762,21.38871,,5441.17311,1181.13039
817.35781,109.04474,21.38652,,5441.16251,1181.13339
817.35508,109.04614,21.38789,,5441.16708,1181.12147
817.35706,109.04763,21.3857,,5441.17248,1181.1245
817.35563,109.04509,21.38711,,5441.17672,1181.12853
817.35507,109.04253,21.38899,,5441.16611,1181.13158
817.3548,109.04398,21.39039,,5441.17065,1181.11966
817.35295,109.0454,21.38831,,5441.17605,1181.1229
817.35544,109.04539,21.38968,,5441.16458,1181.12693
817.36201,109.04599,21.38761,,5441.16993,1181.12921
817.3543,109.04597,21.389,,5441.17417,1181.1172
817.35332,109.04305,21.38689,,5441.16354,1181.12027
817.3596,359.04521,21.38825,,5441.1681,1181.12431
817.35635,109.046,21.38617,,5441.17348,1181.12757
817.36202,109.04594,21.38753,,5441.17804,1181.13161
817.36032,109.04696,21.38547,,5441.16735,1181.11881
817.35572,109.0441,21.38683,,5441.17196,1181.12286
817.35676,109.04551,21.38475,,5441.17753,1181.12595
817.35868,109.04551,21.38612,,5441.16587,1181.13002
817.35896,109.0461,21.38794,,5441.17137,1181.11708
817.3596,109.04608,21.38535,,5441.17602,1181.12109
817.35919,109.04709,21.38747,,5441.16556,1181.12442
817.35913,109.04704,21.38884,,5441.17001,1181.12841
817.35517,109.04373,21.39097,,5441.17525,1181.13142
817.35854,109.04482,21.38841,,5441.17981,1181.1195
817.35749,109.04501,21.38623,,5441.16909,1181.12252
817.35589,109.04603,21.38722,,5441.17292,1181.12652
817.35364,109.04349,21.38515,,5441.16226,1181.12956
817.35727,109.04493,21.38652,,5441.16679,1181.1336
817.35564,109.04604,21.38834,,5441.17212,1181.12061
817.35605,109.04585,21.38574,,5441.17672,1181.12465
817.35741,109.04688,21.38792,,5441.166,1181.12793
817.35739,109.04402,21.38541,,5441.1706,1181.11591
817.3574,109.04544,21.38327,,5441.1759,1181.11919
817.35847,109.04539,21.38864,,5441.17971,1181.12322
817.35676,109.04634,21.38647,,5441.16894,1181.1265
817.35493,109.04381,21.38789,,,1181.13059
817.35648,109.04367,21.38568,,,1181.11762
817.35543,109.04464,21.38676,,,1181.1217
817.35769,109.04607,21.38889,,,1181.12499
817.35703,109.04592,21.39026,,,1181.12905
817.35765,109.04264,21.38815,,,1181.13203
817.35381,109.04411,21.3852,,,1181.12004
817.35717,109.04394,21.38736,,,1181.12325
817.35752,109.04456,21.38877,,,1181.12729
817.35714,109.04446,21.3906,,,1181.1306
817.35806,109.04549,21.38765,,,1181.11865
817.35848,109.04693,21.3898,,,1181.12185
817.35809,109.04438,21.38729,,,1181.12585
817.35978,109.04422,21.38942,,,1181.11314
817.35664,109.04528,21.38655,,,1181.11715
817.3598,109.04671,21.38873,,,1181.1364
817.35762,109.04669,21.38624,,,1181.1244
817.35718,109.04332,21.38405,,,1181.12761
817.35918,109.04709,21.38512,,,1181.11576
817.35784,109.04381,21.38724,,,1181.11903
817.35838,109.04523,21.3847,,,1181.12309
817.36052,109.04668,21.38648,,,1181.12648
817.35817,109.04615,21.39179,,,1181.11446
817.35474,109.04732,21.38971,,,1181.13375
817.35608,109.04752,21.38712,,,1181.1219
817.36122,109.04418,21.38902,,,1181.12517
817.35515,109.04566,21.38606,,,1181.1292
817.35452,109.0455,21.38789,,,1181.13245
817.35862,109.04623,21.38928,,,1181.12047
817.35482,109.04372,21.38724,,,1181.12348
817.35863,109.04367,21.38465,,,1181.12748
817.35967,109.0447,21.38655,,,1181.13046
817.35906,109.04466,21.39187,,,1181.13444
817.35931,109.04526,21.38977,,,1181.12172
817.35689,109.04635,21.38716,,,1181.12574
817.3589,109.04657,21.38498,,,1181.12875
817.35416,109.04716,21.38993,,,1181.13276
817.35764,109.04316,21.38775,,,1181.13501
817.35937,109.04772,21.38531,,,1181.12307
817.36234,359.0431,21.38747,,,1181.12605
817.36153,109.0439,21.38502,,,1181.13006
817.35556,109.04383,21.38717,,,1181.13307
817.35872,109.04482,21.38824,,,1181.12113
817.35836,109.04465,21.38606,,,1181.12414
817.35528,109.04529,21.3872,,,1181.12688
817.35517,109.04511,21.38501,,,1181.13089
817.35676,109.04655,21.38607,,,1181.13414
817.35862,109.04637,21.38821,,,1181.12209
817.35751,109.04306,21.38954,,,1181.12536
817.35493,109.04411,21.38743,,,1181.12937
817.361,109.04554,21.38448,,,1181.11665
817.35482,109.0454,21.38637,,,1181.12067
817.35768,109.04604,21.38776,,,1181.12389
817.35936,109.04711,21.38569,,,1181.12792
817.35544,109.043,21.39099,,,1181.13096
817.3554,109.0436,21.38501,,,1181.11897
817.35758,359.04403,21.3864,,,1181.12196
817.35729,109.04483,21.38822,,,1181.12589
817.35442,109.04541,21.3896,,,1181.12919
817.3585,109.04526,21.38755,,,1181.11719
817.35768,109.04626,21.38894,,,1181.12045
817.35978,109.04773,21.38686,,,1181.12445
817.36213,109.04515,21.38826,,,1181.12774
817.35618,109.04501,21.38619,,,1181.11576
817.35321,109.04607,21.38758,,,1181.11905
817.3554,109.04355,21.38553,,,1181.12301
817.35983,109.04504,21.3869,,,1181.12619
817.35596,109.04644,21.38878,,,1181.11411
817.35779,109.04631,21.38618,,,1181.11735
817.3564,109.04695,21.38795,,,1181.12133
817.35995,109.04442,21.38933,,,1181.12435
817.35753,109.04586,21.38715,,,1181.12709
817.35333,109.04567,21.38823,,,1181.13108
817.35752,109.04675,21.39003,,,1181.11835
817.35693,109.04416,21.3872,,,1181.12234
817.35802,109.0456,21.38501,,,1181.12558
817.36222,109.04665,21.38609,,,1181.11355
817.35624,109.04648,21.38823,,,1181.11677
817.35755,109.0432,21.38563,,,1181.12078
817.35766,109.04462,21.38744,,,1181.12403
817.35865,109.0446,21.3845,,,1181.12806
817.35245,109.0456,21.38641,,,1181.11531
817.3562,109.04707,21.38779,,,1181.1193
817.35997,109.04416,21.38573,,,1181.12224
817.35289,109.044,21.38712,,,1181.12622
817.36086,109.04505,21.389,,,1181.12919
817.35632,109.04648,21.38606,,,1181.11712
817.3585,109.04395,21.38794,,,1181.12033
817.35821,109.04379,21.38501,,,1181.1243
817.35919,109.0444,21.38688,,,1181.12704
817.35642,109.04425,21.38427,,,1181.13102
817.36021,109.04526,21.38639,,,1181.11828
817.35508,109.04674,21.38778,,,1181.12228
817.35807,109.04656,21.38562,,,1181.1255
817.36218,109.04373,21.38701,,,1181.12949
817.35794,109.04512,21.38483,,,1181.11676
817.35359,109.04534,21.38624,,,1181.12075
817.35444,109.04603,21.38813,,,1181.12398
817.36038,359.04458,21.38914,,,1181.12801
817.35674,109.04537,21.38706,,,1181.13125
817.35486,109.04679,21.38845,,,1181.11921
817.35949,109.04676,21.3864,,,1181.12246
817.35429,109.04337,21.38782,,,1181.12638
