32 chunks,16 chunks,2 chunks
115.88957,,18.16028
115.27605,,19.00524
140.43755,,42.06134
118.33745,,18.17222
121.2688,,19.07388
116.56173,,16.70801
118.31763,,18.18547
119.26439,,19.09899
152.14695,,16.7131
121.25928,,18.18837
118.83864,,19.07886
115.14413,,16.71309
115.22818,,18.16789
156.30281,,19.03288
163.86484,,31.53678
112.98232,,19.5171
117.71468,,19.01316
112.18586,,16.74548
120.19821,,18.1795
133.17419,,19.03452
109.2135,,16.72873
115.47625,,18.19984
109.92677,,19.01564
130.68098,,20.93685
124.60406,,18.22633
119.31153,,19.10205
114.77735,,16.73711
118.38922,,33.01062
128.08217,,39.41426
118.97649,,16.76556
118.38789,,18.2056
119.49691,,19.05014
116.66227,,16.74164
115.93355,,18.21143
154.39757,,19.04486
128.89844,,16.77972
114.50413,,25.17909
119.8822,,19.00591
115.74505,,16.73606
124.03218,,18.21233
168.96763,,22.65148
116.72889,,16.69103
117.20665,,18.19411
116.6921,,19.05359
150.93349,,16.73186
129.89557,,18.22547
117.67881,,19.04242
115.26518,,16.72778
115.57801,,18.20585
151.15988,,24.97581
129.64721,,16.71781
119.36685,,18.22291
116.76627,,19.05814
116.96523,,16.75537
121.84278,,18.23258
112.14972,,30.30311
116.96723,,16.00385
115.76585,,18.13102
115.73503,,19.03404
117.99536,,16.71693
131.11981,,18.21018
127.82109,,19.04388
119.25682,,28.40736
116.71033,,21.94603
116.80828,,19.03186
159.52895,,16.7248
156.85101,,33.04
116.18938,,21.42344
118.99629,,28.41072
117.98159,,18.20891
112.38675,,19.04084
158.46533,,16.75525
112.9175,,18.22548
113.00636,,19.03839
114.56522,,16.73179
120.39825,,19.57191
131.73345,,19.06282
117.40246,,16.74295
110.24075,,18.22268
119.2872,,19.05712
125.84723,,16.74389
116.1513,,32.71029
112.57865,,20.24667
119.32065,,16.74141
114.60832,,18.21746
114.35283,,19.05955
150.53588,,16.75882
127.43792,,18.23937
118.01125,,30.5152
114.6365,,18.44221
114.63063,,18.22655
150.0665,,19.06255
155.84737,,32.2837
116.55774,,18.17787
111.16504,,20.72942
144.91313,,16.76199
128.52231,,18.2507
133.91987,,19.0711
148.06014,,16.77411
113.07732,,18.24382
121.05171,,19.07497
125.90091,,16.74843
187.06557,,18.2371
118.08167,,19.06866
114.93902,,16.75958
139.67819,,18.49453
148.68315,,19.07649
111.72915,,27.41671
119.08295,,18.21321
117.49952,,19.09161
115.921,,16.78799
128.99372,,18.24578
111.61424,,19.08576
123.28732,,16.75982
112.6319,,18.27296
114.50739,,30.34463
116.2289,,16.0569
122.52212,,18.20482
157.44974,,19.08961
114.93455,,16.7906
139.12538,,40.4612
119.7921,,18.99963
124.68519,,16.77782
154.38035,,18.30753
118.14766,,19.14358
116.66145,,16.90994
120.49176,,18.29531
158.64327,,19.17146
125.96505,,18.7036
117.47731,,18.28605
119.44499,,19.19206
110.4287,,30.36054
152.22306,,18.26868
,,23.22634
