1024B-ESPNOW,128B-ESPNOW,12B-ESPNOW,1024B-SPP,128B-SPP,12B-SPP,1024B-Bluedroid,128B-Bluedroid,12B-Bluedroid,1024B-TCP,128B-TCP,12B-TCP,1024B-Websockets,128B-Websockets,12B-Websockets,1024B-UDP,128B-UDP,12B-UDP,1024B-NimBLE,128B-NimBLE,12B-NimBLE
25.32638,5.8673,5.63198,18.22171,13.73228,12.12036,31.67436,16.48882,21.90305,7.92429,11.63677,16.35866,7.30844,13.38077,11.98834,9.80953,5.98148,7.95148,22.73763,21.23435,5.16712
25.33064,5.85559,5.66627,15.83342,24.12181,11.19821,36.81346,21.49369,11.91109,7.18573,13.28544,12.0509,7.36367,10.83194,12.52224,8.43649,13.30866,10.00904,42.74358,41.25266,25.17162
25.3539,5.87583,5.65063,17.34043,9.91272,13.8989,40.27265,26.50656,16.96013,15.45865,24.57323,13.83486,9.01358,21.25263,14.10064,7.61266,11.7517,13.0683,53.49922,31.25858,15.18931
25.26212,5.88405,5.65196,18.22541,14.7178,12.1476,45.27876,16.50933,21.92638,8.84659,12.13362,16.91661,13.08652,11.87089,12.55265,3.28665,15.46629,14.70364,22.76777,21.27348,5.2004
23.96133,5.88237,5.6522,15.87048,10.08513,11.09949,36.8249,21.52215,11.91638,11.0559,11.45539,11.7559,7.06931,19.4789,12.80289,8.4963,11.25875,4.98371,42.78561,41.28176,25.21253
23.91923,5.85565,5.64648,17.32347,10.26784,13.8467,52.63386,26.52705,16.98743,10.54854,13.0375,14.13974,12.77661,11.08927,12.44315,9.40444,11.39057,13.16173,32.79857,31.29654,15.21858
23.95089,5.85796,5.68982,18.23509,13.70245,12.12258,30.29686,16.53979,21.95204,10.51619,13.45887,12.40996,11.34022,13.31328,13.27928,8.06221,13.0901,7.7409,22.81502,21.30864,5.23241
23.9672,5.83921,5.65114,25.98557,13.92686,11.22567,36.83327,21.54471,11.96199,13.75897,11.20323,14.21055,7.2524,14.46619,12.51288,12.54964,8.08934,9.47477,42.81989,41.31979,25.75126
23.90582,5.85146,5.68256,17.1814,9.98999,13.89384,40.31726,26.55749,17.01106,9.22008,11.44838,17.60796,8.23638,10.80116,12.92095,3.40765,7.69726,13.74198,32.8352,31.32683,45.25672
23.94866,5.86774,5.65576,18.13814,14.84784,12.12626,30.32009,16.56033,21.97764,6.83356,11.53617,12.71933,8.54692,17.26525,13.50887,4.59932,12.80883,12.42932,22.82866,21.34162,5.26157
23.9265,5.86099,5.66318,29.36772,10.10868,11.11506,36.85755,21.57319,11.96921,8.2817,13.03991,13.21481,9.62069,11.65825,11.38064,8.67419,12.68136,18.30671,42.84281,41.35196,25.27668
23.9275,5.86326,5.6715,20.97744,10.10279,27.04717,40.33355,41.58007,17.03168,7.03304,18.51757,16.22603,8.48541,13.25902,14.56447,6.10816,10.38041,6.46863,32.8509,31.36583,15.28267
23.93135,5.9225,5.65873,18.29639,13.71145,12.06726,45.34523,16.59082,22.00104,7.98138,12.85605,13.01372,8.96669,12.64024,13.92944,3.32314,10.86801,7.4762,50.38345,21.37288,5.30272
23.94571,5.87773,5.66007,15.84412,11.49481,11.21342,36.87985,21.59567,11.99489,7.17039,13.38034,14.17865,7.87659,11.46191,14.91808,8.28486,13.43918,15.14383,68.6007,41.389,25.30585
23.97292,5.85017,5.67538,17.32795,25.09412,13.87969,52.7651,26.60848,17.00456,9.98295,12.89327,16.38247,11.98897,13.47144,13.09449,8.39958,11.18698,10.00801,32.90246,61.3992,15.32061
23.91733,5.8683,5.66072,21.89567,9.97298,12.17007,31.77712,16.61132,22.01862,7.92849,15.84534,13.07026,9.2841,11.13282,11.73642,3.78002,6.03602,10.50297,22.90583,21.41078,35.32698
23.93801,5.86361,5.71314,15.8509,14.74932,11.13515,36.90485,21.62408,12.02417,7.70055,19.56659,13.39922,8.9242,10.94986,12.47808,3.32441,13.48962,10.39125,42.92445,41.41927,25.84913
23.96069,5.85989,6.3864,17.32165,10.28675,15.10974,41.787,26.62901,17.03412,9.0975,11.48647,14.03126,9.04793,13.08226,14.73372,8.31872,10.81259,8.82213,32.92768,31.43391,15.34991
27.625,5.87516,9.8221,18.15507,13.75184,14.88599,42.8505,16.64181,22.02982,7.87023,14.72494,13.85918,10.55834,11.03576,13.86795,4.67927,10.93805,19.73701,22.94554,21.44103,5.36378
23.96221,5.87241,5.70911,15.83413,11.50757,11.27445,36.91846,21.6466,12.06782,7.31982,22.87594,11.94755,7.98098,14.50406,12.21977,8.78201,13.34874,5.27111,42.95022,41.46205,25.37105
