SWEPT-1024B,FIXED-1024B,SWEPT-128B,FIXED-128B,SWEPT-12B,FIXED-12B
9.95032,24.4205,29.02646,12.63202,14.58814,NA
23.94912,34.42388,3.02902,22.63658,2.22858,NA
37.21776,14.42762,7.03118,2.63966,19.20588,NA
20.2158,24.4235,11.03348,12.64208,6.2325,NA
33.21836,34.43512,15.03676,22.64568,23.2292,NA
16.22188,14.43754,19.03892,2.6511,10.23738,NA
29.21646,24.44054,22.95772,12.65298,27.2235,NA
12.22468,34.43756,25.95946,22.65714,14.24212,NA
25.22104,14.44808,28.9607,2.66054,31.22088,NA
8.221,24.44796,31.96434,12.66416,18.2475,NA
20.5869,34.44754,4.96592,22.66728,5.24918,NA
32.58676,14.45808,7.96876,2.66984,22.23802,NA
14.58498,24.4541,10.9717,12.67348,9.25382,NA
26.59814,34.46574,13.97388,22.67736,26.2318,NA
8.59616,14.4649,16.55686,2.6796,12.41028,NA
20.59988,24.46468,18.5589,12.68494,28.40752,NA
32.5995,34.4761,20.56272,22.68606,14.41434,NA
14.60352,14.47108,22.56468,2.69142,30.4021,NA
26.6068,24.48322,24.56754,12.69472,16.4207,NA
37.90708,34.48934,26.57012,22.69762,2.42132,NA
18.90988,14.48988,28.57156,2.70116,18.4188,NA
29.9128,24.49176,30.5291,12.70434,4.4268,NA
10.9061,34.49264,31.53114,22.70852,20.41732,NA
21.91614,14.4993,2.53276,2.7117,6.43152,NA
32.91936,24.50336,3.53498,12.71436,22.41088,NA
13.92086,34.5022,4.5381,22.71874,8.4363,NA
24.92364,14.5065,5.5407,2.72196,24.43054,NA
35.9276,24.5129,6.54314,12.7265,9.6691,NA
16.92202,34.5171,7.54592,22.72856,24.6576,NA
27.14842,14.51696,8.42508,2.73272,9.6738,NA
