1024B-ACK,1024B-FaF,1024B-throughput-opt,128B-ACK,128B-FaF,12B-ACK,12B-FaF
53.97982,45.83228,53.23877,8.16033,8.86246,6.1983,2.60426
53.97935,45.83498,53.23841,8.15974,8.86211,6.19752,2.6038
53.97602,45.83454,53.23794,8.1595,8.86161,6.19729,2.60301
53.97853,45.83414,53.23453,8.1591,8.86125,6.19708,2.60183
53.97813,45.83072,53.23692,8.15869,8.86071,6.19668,2.60164
53.97873,45.8333,53.2287,8.15828,8.86016,6.19602,2.60112
53.97539,45.8328,53.22829,8.15787,8.85986,6.19586,2.60046
53.97798,45.83246,53.22587,8.15747,8.85955,6.19551,2.60034
53.97755,45.82903,53.22746,8.15806,8.859,6.19506,2.59992
53.97609,45.83141,53.22711,8.15765,8.8587,6.1944,2.59945
53.97363,45.83117,53.22664,8.15524,8.85819,6.19325,2.59878
53.97628,45.83078,53.22323,8.15466,8.85784,6.19284,2.59766
53.97686,45.82735,53.22586,8.15443,8.85734,6.19343,2.5973
53.97546,45.82993,53.2254,8.15401,8.85699,6.19178,2.59677
53.97313,45.82943,53.22498,8.1536,8.85644,6.19162,2.59611
53.97471,45.82909,53.2215,8.15319,8.85589,6.19126,2.59598
53.97428,45.82571,53.22416,8.15278,8.85559,6.19081,2.59557
53.97283,45.82829,53.22379,8.15238,8.85521,6.19015,2.5951
53.97149,45.8278,53.22334,8.15197,8.85373,6.19,2.59442
53.97183,45.82741,53.21992,8.15156,8.85343,6.1896,2.59331
53.97161,45.82386,53.22251,8.15215,8.85293,6.18919,2.59294
53.9712,45.82656,53.22209,8.15157,8.85258,6.1874,2.59242
53.96786,45.82606,53.22168,8.14934,8.85208,6.18718,2.59163
53.97046,45.82572,53.21827,8.14893,8.85173,6.18702,2.59145
53.97003,45.8223,53.22065,8.14852,8.85118,6.18656,2.59121
53.96956,45.82493,53.22049,8.14811,8.85063,6.18591,2.59075
53.96623,45.82443,53.22002,8.14771,8.85032,6.18575,2.59007
53.96883,45.82404,53.21662,8.1473,8.85002,6.18535,2.58896
53.96834,45.82061,53.21921,8.14689,8.84947,6.18495,2.58859
53.96793,45.823,53.21879,8.14648,8.84917,6.18429,2.58807
53.96448,45.82271,53.21838,8.14607,8.84866,6.18414,2.5874
53.96719,45.82236,53.21496,8.14549,8.84831,6.18278,2.58728
53.96676,45.81894,53.2176,8.14626,8.84781,6.18232,2.58686
53.9663,45.82151,53.2172,8.14585,8.84746,6.18167,2.5864
53.96296,45.82108,53.21673,8.14544,8.84691,6.18151,2.58572
53.96548,45.82068,53.21324,8.14303,8.84636,6.1811,2.5846
53.96508,45.81731,53.2159,8.14262,8.84506,6.1807,2.58424
53.96467,45.81988,53.21549,8.14222,8.84468,6.18005,2.58371
53.96133,45.81934,53.21508,8.14181,8.84421,6.1799,2.58305
53.96368,45.81899,53.21267,8.1414,8.8439,6.17954,2.58292
53.9635,45.81545,53.21926,8.14099,8.8434,6.17908,2.58251
