ETHERNET-1024B,ETHERNET-128B,ETHERNET-12B,WiFi-1024B,WiFi-128B,WiFi-12B
2.57853,2.49702,2.59668,6.06331,6.41296,86.81468
2.60462,2.40497,2.75377,5.9223,6.23325,17.38739
2.54725,2.44794,2.68004,6.18824,6.32581,83.86933
2.60476,2.37756,2.56116,6.37023,6.40363,12.86022
2.59752,2.41407,2.49477,6.3418,10.26828,79.78539
2.55602,2.62794,2.50857,6.00411,8.66934,14.67685
2.70199,2.51612,2.52722,6.26764,6.49141,85.92306
2.64209,2.40512,2.56055,6.11338,6.18215,6.70443
2.54727,2.39797,2.67358,6.03033,6.23433,123.39069
2.64445,2.46501,2.5361,6.5576,6.67014,95.26356
2.54563,2.5657,2.53783,5.51889,6.37026,67.49235
2.60807,2.42946,10.33568,6.05272,6.32964,41.53468
2.62556,2.35009,2.75714,6.08667,6.25244,14.21159
2.57061,2.67404,2.29476,5.99285,6.36727,6.9674
2.58557,2.44255,2.39672,7.53845,6.37085,132.32887
2.65099,2.37917,2.31592,5.9057,6.31989,103.68334
2.5697,2.47871,2.2823,6.00316,6.36954,76.60743
2.6854,2.53137,2.43778,6.361,6.11594,85.23189
2.59118,2.46085,2.42953,8.02748,6.26724,59.44591
2.59342,2.40604,2.40699,6.57758,6.5064,7.03001
2.52008,2.43696,2.40982,6.70907,6.51288,7.23111
2.84806,2.41345,2.38825,5.66562,6.44583,25.14358
2.59405,2.48448,2.68194,6.06783,6.20312,7.47238
2.52059,2.37703,2.93802,6.23956,3.30424,6.88057
2.46387,2.41226,2.36727,6.13635,6.47352,7.12292
2.63058,2.40059,2.34863,6.24924,7.51172,11.90446
2.43306,2.50769,2.3442,5.94092,6.34497,6.62831
2.75529,2.40274,2.3365,5.60509,6.47636,7.69784
2.57488,2.50254,2.43594,6.98751,6.43076,7.10834
2.57537,2.40182,2.58272,7.79125,6.47686,10.09048
2.53878,2.38629,2.4125,6.04976,6.4165,7.15399
2.54611,2.42065,2.55109,5.92158,6.41252,6.64149
2.61644,2.411,2.52311,5.47229,6.3108,6.58635
2.55953,2.39724,2.29689,5.91107,6.42276,7.29389
2.5645,2.51303,2.52068,7.36171,6.6543,7.11519
2.67678,2.42776,2.37398,6.04633,6.44682,7.19651
2.54924,2.44202,2.4954,6.32416,6.60684,6.91029
2.6505,2.53369,2.43162,5.97334,6.64009,6.94003
3.04641,2.46963,2.44504,6.20983,3.05647,6.88245
2.58468,2.43673,2.5806,5.67215,6.88862,7.48039
2.55975,2.49221,2.44057,5.81716,6.76524,6.80661
2.65573,2.39143,2.52581,6.9414,6.41842,4.05537
2.5816,2.4908,2.32939,5.83033,6.46345,8.52634
2.52684,2.37067,2.28141,6.61007,3.04139,8.48417
2.44266,2.37922,2.43731,5.88879,8.22107,6.74219
2.49419,2.39128,2.23964,5.76904,6.56317,6.61913
2.58931,2.52758,2.33575,6.43555,6.5784,6.95147
2.66155,2.38953,2.16755,7.15084,9.14331,6.9637
2.60794,2.49303,2.45427,6.71232,3.22885,6.93221
2.44591,2.42845,2.25743,6.36646,6.63564,8.53984
2.53749,2.35928,2.26012,6.02802,6.74278,7.31789
2.6548,2.37962,2.45331,5.89639,7.18794,11.57839
2.53368,2.48905,2.25368,6.01645,6.30932,6.52734
2.51592,2.3763,2.29032,6.03518,3.40217,7.10388
2.59707,2.48143,2.15343,6.0622,6.66245,6.76306
2.58457,2.33332,2.19637,6.11674,8.0615,6.78586
2.55854,2.63221,2.40841,6.98504,6.97593,6.77639
2.74122,2.41355,2.26037,5.97978,6.47694,6.87495
2.58298,2.51594,2.51062,5.94157,3.23478,6.75636
2.60953,2.45351,2.49017,5.92813,6.12368,6.90713
2.57661,2.39569,2.30913,6.68215,6.22156,8.53364
2.62592,2.2925,2.31163,7.21393,6.2681,7.13123
2.55612,10.31338,2.24096,5.8976,6.25207,6.68316
2.58629,12.40113,2.30787,10.41411,3.43991,6.83067
2.57108,2.43546,2.39954,6.48485,6.41775,7.23381
2.55633,1.96211,2.22946,5.87453,6.68447,7.41336
2.57687,2.01516,2.26411,6.05981,7.28515,6.99176
2.73724,2.07674,2.20872,5.8721,6.47161,8.73251
2.60205,2.01476,2.44677,6.18033,4.22127,7.26795
2.59665,1.99706,2.2741,6.26529,7.94607,8.1636
2.43948,2.95593,4.637,5.97853,6.253,6.92782
2.60824,2.22106,2.43631,5.94318,6.35382,7.5475
2.55456,4.13282,2.4349,5.98285,5.97443,10.79696
2.55712,2.54735,2.58818,6.18864,3.10608,6.76998
2.54889,2.05914,2.42699,6.02962,6.24449,6.7965
2.61677,2.00703,2.28672,6.71296,6.5587,8.95014
2.58037,2.01762,2.29977,6.03729,6.45943,7.22148
2.69572,2.00331,2.26933,6.51242,6.15215,6.77677
2.50223,1.94736,2.26883,6.98327,3.20811,6.70065
2.64404,1.85921,2.33273,6.00404,6.33311,7.23546
2.55549,1.94101,2.30244,5.72679,6.6744,6.82078
2.48564,1.83406,2.22165,6.77666,6.62185,7.44547
2.49145,1.90724,2.25978,6.42877,6.29517,6.89845
2.48196,1.91843,2.30097,6.2973,3.04903,6.75596
