"ll-115200-dma-debug","ll-115200-dma-minsize","ll-115200-dma-release","ll-115200-irq-debug","ll-115200-irq-minsize","ll-115200-irq-release","ll-115200-poll-debug","ll-115200-poll-minsize","ll-115200-poll-release"
1163450,1137180,1141840,1065460,1047460,1047220,1062050,1052510,1045520
1162930,1053590,1139250,1064260,1054860,1046040,1060730,1050930,1052850
1090980,1147560,1136520,1062760,1053520,1044680,1059630,1049690,1051510
1175890,1144050,1051130,1061480,1052180,1051980,1067030,1048610,1050290
1166730,1140640,1136580,1060200,1050840,1050740,1065600,1047250,1048950
1157520,1056910,1142600,1067500,1049500,1049440,1064470,1054410,1047440
1085910,1142200,1140020,1066180,1048200,1048060,1062750,1053050,1046300
1179120,1138780,1054490,1064860,1046880,1046700,1061950,1051730,1045000
1169980,1143950,1139920,1063540,1054280,1045480,1060610,1050460,1052350
1161050,1060390,1137290,1062220,1052960,1052740,1058890,1049120,1051040
1089030,1145680,1134660,1060920,1051640,1051520,1066430,1047820,1049690
1173950,1142120,1049270,1068260,1050320,1050160,1065090,1046720,1048350
1164780,1138720,1143320,1066960,1049000,1048820,1063940,1053880,1046890
1155990,1055120,1140720,1065680,1047700,1047460,1062370,1052780,1045770
1092750,1140380,1138130,1064500,1055100,1046260,1061000,1051250,1044500
1177170,1145550,1052600,1063000,1053780,1044940,1059880,1049910,1051630
1168290,1142150,1138030,1061680,1052460,1052200,1067370,1048590,1050460
1159070,1058410,1135450,1060420,1051160,1050960,1065860,1047320,1049170
1087490,1143820,1132870,1067700,1049780,1049580,1064620,1054680,1047830
1171970,1140250,1056010,1066400,1048460,1048260,1062920,1053530,1046520
1171790,1136850,1141420,1065080,1047140,1046900,1062110,1051950,1045030
1162550,1053260,1138840,1063760,1054560,1045600,1060780,1050890,1052550
1090630,1147230,1136260,1062440,1053240,1052980,1059010,1049560,1051310
1175490,1143690,1050740,1061140,1051920,1051660,1066510,1048290,1049900
1166250,1140230,1136160,1059740,1050600,1050420,1065120,1046700,1048620
1157380,1056630,1142330,1067180,1049280,1049120,1063970,1054070,1047330
1085390,1141890,1139610,1065840,1047920,1047760,1062400,1052950,1046010
1178690,1138450,1054210,1064540,1046600,1046400,1061150,1051440,1044670
1169970,1143630,1139630,1063340,1053960,1045100,1059980,1050180,1051950
1160700,1060060,1137050,1061880,1052620,1052500,1067330,1048740,1050730
1088790,1145320,1134410,1060600,1051320,1051160,1065820,1047470,1049340
1173630,1141790,1048880,1067920,1050000,1049780,1064530,1046130,1048120
1164440,1138400,1143060,1066620,1048680,1048480,1063430,1053750,1046570
1164000,1054680,1140470,1065300,1047360,1047240,1061900,1052170,1045250
1092410,1140090,1137760,1063980,1054760,1045940,1060600,1050880,1052840
1176940,1145190,1052340,1062660,1053460,1053200,1059540,1049780,1051500
1168140,1141800,1137760,1061360,1052100,1051980,1066990,1048270,1050190
1158910,1058200,1135190,1059960,1050780,1050580,1065680,1046910,1048790
1086910,1143480,1141240,1067380,1049440,1049240,1064450,1054340,1047570
1171820,1139930,1055710,1066060,1048160,1048020,1062760,1052980,1046020
1171320,1136510,1141120,1064760,1046780,1046660,1061320,1051660,1044820
1162280,1061490,1138610,1063440,1054200,1045320,1060130,1050390,1052270
1090320,1146890,1135870,1062120,1052860,1052720,1067450,1048960,1050950
1175240,1143350,1050470,1060880,1051520,1051380,1066570,1047910,1049610
1166080,1139960,1135880,1068140,1050220,1050040,1065180,1046590,1048250
1156870,1056230,1141920,1066840,1048900,1048700,1063360,1053780,1046980
1085300,1141630,1139370,1065520,1047600,1047460,1062500,1052670,1045590
1178510,1138100,1053850,1064200,1055000,1046100,1061130,1051050,1052990
1169620,1143390,1139270,1062880,1053700,1044760,1060070,1049800,1051720
1160400,1059690,1136670,1061560,1052320,1052140,1066810,1048490,1050190
1088380,1144960,1134110,1060180,1051000,1050820,1066010,1047220,1049020
1173300,1141540,1057220,1067600,1049680,1049440,1064720,1054570,1047800
1164330,1138010,1142640,1066300,1048360,1048240,1063030,1053390,1046430
1163910,1054420,1140060,1064980,1047040,1046860,1061540,1052100,1045060
1091940,1148400,1137510,1063660,1054380,1045520,1060320,1050810,1052460
1176780,1144980,1051990,1062340,1053080,1052900,1067650,1049470,1050960
1167560,1141470,1137390,1061100,1051760,1051560,1066760,1048150,1049780
1158740,1057880,1134800,1059640,1050440,1050220,1065330,1046550,1048470
1086790,1143130,1140830,1067040,1049120,1049000,1064160,1053920,1047010
1171260,1139600,1055350,1065740,1047820,1047660,1062630,1052680,1045690
1171220,1136220,1140780,1064480,1055220,1046280,1061230,1051290,1044590
1161970,1061180,1138190,1063100,1053920,1044980,1060030,1050260,1051730
1090090,1146570,1135650,1061780,1052600,1052340,1067380,1048950,1050580
