115200-DMA,115200-IRQ,115200-POLL,230400-DMA,230400-IRQ,230400-POLL,460800-DMA,460800-IRQ,460800-POLL,921600-DMA,921600-IRQ,921600-POLL,1843200-DMA,1843200-IRQ,1843200-POLL
13088,6908,9618,50854,5834,5264,30482,5522,4492,15271,2791,2521,14375.5,5005.5,4705.5
100468,7598,10168,50334,6584,5844,29822,4042,5032,7461,3091,2861,13645.5,5365.5,4995.5
99818,8328,10978,49704,7244,6614,27072,4822,3752,17561,3561,3151,12125.5,5195.5,4755.5
99308,9018,2888,9544,3634,7194,8682,5482,4332,16661,2861,2651,11215.5,4915.5,5035.5
7168,9728,3718,53644,4294,3524,31032,4022,4902,14641,3151,2941,14535.5,5265.5,4795.5
94538,10438,4298,53044,4954,4364,28252,4712,5472,6881,3581,3221,13425.5,5095.5,4565.5
93998,11118,5078,52494,5714,5154,27502,5392,4132,17981,2901,2721,12385.5,4815.5,5115.5
93348,3078,5658,7954,6374,5724,9072,3932,4702,15941,3201,3011,10845.5,5175.5,4875.5
9918,3778,6438,52054,7034,6514,31472,4612,5542,15051,3651,2251,14785.5,4915.5,4635.5
97308,4498,7278,51524,7784,7104,28702,5242,3952,7271,2971,2801,13625.5,5275.5,4925.5
96688,5198,7808,50904,4074,3204,28152,6022,4782,17381,3391,3091,12105.5,5115.5,4715.5
96158,5908,8628,10744,4834,4014,9622,4552,5352,16491,3701,2331,11075.5,5445.5,5025.5
12648,6608,9158,54844,5494,4564,29992,5202,4022,15481,3011,2611,14505.5,5145.5,4765.5
100138,7308,9988,49974,6154,5374,29342,5852,4602,6691,3431,3161,13235.5,4995.5,5075.5
99478,7988,10518,49344,6914,5924,28722,4372,5432,17811,2741,2401,12325.5,5335.5,4815.5
98838,8678,2728,9194,7574,6744,8072,5152,3842,16891,3061,2691,10825.5,5055.5,4605.5
15408,9378,3288,53284,3964,7284,30572,5812,4412,14861,3481,3231,14755.5,4895.5,5125.5
94258,10068,4098,52654,4614,3634,29912,4332,5252,7041,2791,2471,13475.5,5255.5,4915.5
93628,10758,4648,52044,5274,4454,27122,4972,3652,18281,3101,2761,12565.5,4995.5,5185.5
92968,11448,5458,7624,6034,5004,8712,5752,4492,16261,3411,3311,11015.5,5335.5,4965.5
9558,3418,6008,51734,6694,5834,31102,4272,5062,15331,2831,2551,14445.5,5045.5,4705.5
96938,4098,6818,51104,7354,6404,28312,4922,5832,6531,3131,2841,13695.5,4885.5,5035.5
96388,4828,7368,50474,3774,7244,27782,5572,4292,17631,3571,3411,12175.5,5225.5,4795.5
95758,5518,8178,10354,4474,3554,9242,4102,5132,16721,2891,2671,10655.5,5045.5,5085.5
12238,6228,8988,54454,5134,4124,29602,4882,5652,14691,3211,2981,14585.5,5375.5,4845.5
99738,6938,9528,53924,5774,4964,28982,5532,4132,6901,3651,2171,13435.5,5095.5,4615.5
99098,7628,10368,48924,6544,5724,28322,4052,4902,18041,2971,2751,12415.5,4945.5,5165.5
98558,8318,10918,8774,7194,6304,9912,4692,5732,16031,3291,3061,10875.5,5265.5,4925.5
15038,8998,3088,52884,7854,6874,30172,5472,4212,15121,3731,2251,14315.5,4985.5,4685.5
93888,9698,3638,52274,4254,3444,29512,4002,4972,7361,3051,2821,13695.5,4815.5,4975.5
93248,10388,4448,51764,4644,4014,28982,4652,5552,17471,3361,3131,12155.5,5155.5,4745.5
92628,11008,4998,11614,5414,4844,8302,5302,4032,16561,2671,3371,11135.5,4865.5,4505.5
9098,11708,5808,51344,6064,5344,30772,6082,4792,15571,3121,2891,14565.5,5205.5,4795.5
96588,3768,6358,50734,6714,6184,30132,4602,5362,6761,3441,3231,13275.5,5025.5,4555.5
95948,4478,7168,50204,7484,6754,27362,5252,4102,17881,2751,2471,12395.5,4855.5,4845.5
95408,5188,7718,10014,3764,7524,8962,5802,4632,16981,3201,2751,10855.5,5195.5,4605.5
11898,5868,8558,53884,4534,3904,31332,4362,5452,14951,3511,3301,14785.5,4935.5,5155.5
99408,6568,9108,53264,5194,4474,28572,5012,3862,7181,2831,2541,13535.5,5275.5,4905.5
98748,7258,9918,48364,5844,5244,27932,5662,4692,18401,3271,2831,12005.5,4995.5,5195.5
98118,7948,10458,8204,6614,5814,9502,4182,5272,16351,3581,3381,11095.5,5325.5,4955.5
14708,8638,11268,52324,7264,6654,29742,4972,3672,15461,2891,2621,14395.5,5165.5,4725.5
102088,9338,3178,51774,3654,7434,29212,5622,4512,6511,3211,2911,13735.5,4985.5,5015.5
92348,9928,3988,51134,4314,3564,28572,4142,5082,17621,3621,3461,12215.5,5325.5,4795.5
91718,10138,4798,10974,4994,4324,7912,4792,3752,16741,2941,2701,10695.5,5065.5,4585.5
8208,10848,5348,55084,5694,5154,30272,5562,4332,14721,3251,2981,14635.5,4805.5,4895.5
95718,2818,6158,50214,6394,5724,29602,4092,4902,6921,2561,2221,13505.5,5165.5,4875.5
95098,3508,6708,49554,7044,6484,28962,4742,5662,18151,2981,2771,12445.5,5005.5,4665.5
