TEST 1,TEST 2,TEST 3,TEST 4,TEST 5,TEST 6,TEST 7,TEST 8,TEST 9
139.57832,180.49447,31.16521,135.80883,187.25849,248.2042,93.00133,35.9196,82.67708
133.67934,181.18693,28.3499,125.29507,192.39509,248.17238,94.53252,36.25286,87.57694
146.05432,183.20709,31.30783,128.05354,190.48232,242.06007,93.32613,36.6706,86.24248
136.95819,181.34667,30.37344,125.95874,186.859,241.33094,90.59944,35.91091,82.56212
134.18623,186.84186,31.64314,132.43602,186.98892,242.37742,93.2118,34.03784,79.97512
132.77266,183.78071,28.50516,127.4027,186.20239,252.60573,94.16933,34.51421,80.8507
136.22002,181.74779,28.8026,126.32328,188.26762,242.13873,95.92643,35.04262,82.80534
137.51433,183.49716,27.92707,127.77555,190.88168,240.65458,90.8832,33.28385,80.03461
134.82577,195.11529,28.39043,132.99549,187.82911,243.66275,97.33762,36.31267,83.14931
134.30545,183.50399,30.32585,127.87629,187.12755,245.90379,91.46776,35.79187,82.1313
146.6263,180.51457,34.3592,126.92761,187.25441,244.27877,92.50938,31.75841,79.47581
139.65042,183.7734,29.68273,128.40789,190.17735,243.26075,92.18453,31.83177,82.15229
133.92622,182.02742,29.26551,126.83143,191.27942,241.004,91.72363,36.28158,78.51447
139.92284,185.10574,29.15249,133.65184,187.87658,243.4969,91.55841,36.55247,81.55567
134.87997,186.90811,28.36469,128.05106,192.48059,246.72508,93.23891,39.4693,81.69654
134.70316,182.60558,29.06223,130.93366,188.8813,242.30274,100.90892,35.34885,82.09664
133.00953,182.42078,27.92161,136.10557,187.18722,243.17021,96.43826,32.33564,79.80839
136.17589,189.64855,30.52287,127.51484,202.54137,242.14807,94.26223,36.12288,82.0112
134.24639,181.41064,28.87932,129.74878,187.86356,249.3899,94.94656,40.79141,86.75539
135.56915,184.06303,29.56793,129.4716,200.4355,244.34127,92.82794,32.53799,84.81174
136.77816,184.42351,30.09524,126.84981,187.94535,244.23923,92.25018,38.21892,80.92211
139.9008,181.71376,33.09165,135.49394,189.27366,244.27521,92.59669,38.50839,87.30167
135.39484,181.24878,29.4559,134.46603,190.50763,245.44127,91.89516,37.76091,83.6664
133.6301,187.02172,41.6193,134.90884,186.01541,249.12828,97.42787,34.76924,80.63167
134.79662,179.87774,35.59066,126.41903,187.23734,241.79509,89.63543,38.61259,79.49338
133.89477,183.21529,30.14533,132.7817,188.78374,244.40528,93.98395,35.00089,81.6656
142.02946,181.65261,30.7096,125.31791,188.83065,243.48203,99.01184,38.33849,87.34446
138.34076,184.85256,30.08309,128.27566,187.8276,246.96049,91.14913,35.54585,80.25143
134.20808,180.28042,35.5897,129.34673,188.13084,245.14234,94.34742,40.40089,89.6571
139.91937,181.29783,30.90333,126.00513,193.52367,241.49226,91.91876,38.07292,84.17779
134.88778,181.15361,41.46647,125.13899,187.70679,249.2537,93.86619,47.38496,82.38935
134.23518,182.08753,35.82315,133.22283,191.0275,243.7,94.0733,40.92708,79.30676
139.78908,187.02767,30.25216,129.09224,189.7186,242.27531,94.68561,34.66364,84.22195
142.78366,181.40104,33.62747,127.15912,191.22684,243.0093,90.17507,41.22787,83.9406
142.87534,190.68022,29.09388,133.79957,187.57975,241.04719,94.36285,39.34396,82.9785
143.09304,183.14471,28.37545,127.72294,191.40772,243.43467,98.12771,36.02791,88.05447
144.0862,181.57314,29.75677,126.61092,189.02707,241.7095,92.88554,36.59151,82.86617
143.30327,184.44658,31.97413,126.39825,193.217,243.66444,93.75,36.12684,83.38019
144.89163,188.12765,32.84883,130.27971,187.25717,248.17219,93.09447,38.76111,82.09659
144.4441,181.76761,29.23303,135.31207,187.22545,240.85936,95.72384,35.56244,80.32266
145.05032,183.25394,30.56439,126.56852,185.42102,248.18543,95.00888,42.74179,78.52046
144.17363,181.80764,32.72583,132.67069,190.49796,241.38358,98.64718,34.74886,80.46487
149.85461,193.57314,30.35213,129.45799,186.34177,245.23937,90.60677,35.22355,81.4275
144.11591,180.32568,58.04545,128.12508,187.57381,243.6058,92.26343,37.13191,79.47772
144.26937,183.81625,37.8049,127.84209,191.24904,241.88671,93.57128,33.68554,84.82517
150.15404,185.80445,39.1482,130.99932,190.00604,245.06263,97.81705,33.09593,83.17327
144.80108,197.19284,29.25624,126.05077,194.89581,241.60191,93.3631,32.82957,79.12517
146.84607,182.27462,34.32724,130.44623,188.52578,244.94442,98.70386,35.49038,78.59489
147.44941,182.90402,29.46763,128.80357,187.91513,247.26182,93.40625,43.27494,78.46546
143.21903,182.88313,29.29404,129.05676,186.205,246.74825,91.44342,34.99381,83.38383
142.60611,182.11784,29.45445,127.43725,186.7699,244.92155,92.61088,34.23652,78.75272
147.19347,188.14859,28.55691,125.96305,190.34187,244.02205,98.73961,54.59288,82.34215
145.05631,184.40315,30.78227,127.32019,189.67525,244.50566,98.03713,36.09863,78.57846
144.95226,181.54494,31.08254,138.98151,191.91814,244.40571,92.65127,41.02784,82.50279
156.24093,185.26302,29.15201,130.78992,194.80592,247.30942,97.61518,33.34759,117.42466
150.15063,185.9028,30.40453,132.76437,194.45318,246.86377,93.1636,34.6348,79.7325
144.95799,181.73326,46.74871,134.59658,186.47618,248.53005,91.81637,37.39413,81.03376
151.72007,181.5912,28.28788,127.99052,186.81517,253.65407,96.1567,35.05569,78.64211
147.49325,183.09282,34.10868,125.73457,189.91994,246.96971,91.82182,35.15942,82.8708
146.89337,185.47296,35.05123,128.72209,189.08454,246.89812,92.18329,33.58495,80.51919
142.90622,184.10525,29.86749,125.27129,188.15814,248.3178,95.295,36.64259,87.47553
143.22125,182.08603,32.80799,130.85959,189.39696,245.47594,95.34251,35.56591,83.81631
155.35086,187.2473,30.07429,128.93,186.65899,242.60417,92.16187,36.13858,79.90318
152.62945,186.18444,283.31698,133.51484,194.5262,246.09237,95.64132,37.52193,85.93412
143.43785,180.81178,38.29632,135.9336,186.54025,246.87015,96.33465,32.8682,83.36307
143.04961,182.49408,28.91653,129.26209,186.1372,244.91838,92.90997,36.48918,83.02216
143.21419,184.78594,28.76591,130.86054,186.85591,244.71844,99.00816,33.47754,81.04993
143.43043,180.12125,30.90944,130.14287,188.17396,252.14039,89.83445,43.42579,82.21524
142.98028,188.64578,28.44872,133.0846,185.79236,244.72273,91.56281,35.00859,84.74074
148.01233,182.98477,29.72714,125.95726,186.52097,242.74198,93.83864,35.76177,83.33954
144.92062,183.75607,41.87335,134.3423,188.74996,245.25714,93.17303,33.95148,79.25747
144.90186,184.1118,30.49598,130.08158,191.88948,242.37235,90.4113,38.18293,82.74874
144.19736,183.01411,35.07873,126.99595,187.49332,241.57344,93.43779,34.38267,80.83924
